Date_Picked,Source,Ticker,Price_Day0,Price_Day1,Unnamed: 5,Confidence
9/14/2026,Gemini,NVDA,210.96,212.0,1.04,
9/14/2026,Gemini,META,665.6,664.14,-1.46,
9/14/2026,Gemini,AMZN,253.54,248.66,-4.88,
9/14/2026,Gemini,MSFT,505.41,499.58,-5.83,
9/14/2026,Gemini,LLY,1138.28,1142.27,3.99,
9/14/2026,ChatGPT,AAPL,333.08,329.69,-3.39,
9/14/2026,Gemini,AAPL,333.08,329.69,-3.39,
9/14/2026,Claude,GOOGL,349.39,344.28,-5.11,
9/14/2026,ChatGPT,AVGO,344.72,341.14,-3.58,
9/14/2026,ChatGPT,AMD,493.41,504.46,11.05,
9/15/2026,Claude,NVDA,212.0,212.06,,
9/15/2026,Claude,AAPL,329.69,330.22,,
9/15/2026,Claude,MSFT,499.58,497.79,,
9/15/2026,Claude,AMZN,248.66,247.72,,
9/15/2026,Claude,GOOGL,344.28,343.93,,
9/15/2026,ChatGPT,NVDA,212.0,212.06,,
9/15/2026,ChatGPT,AVGO,341.14,340.45,,
9/15/2026,ChatGPT,AMD,504.46,503.61,,
9/15/2026,ChatGPT,META,664.14,669.62,,
9/15/2026,ChatGPT,PLTR,170.61,174.43,,
2026-09-15,Claude,NVDA,212.06,212.17,,6.0
2026-09-15,Claude,MSFT,497.79,497.12,,6.0
2026-09-15,Claude,AAPL,330.22,331.34,,5.0
2026-09-15,Claude,AMZN,247.72,248.42,,6.0
2026-09-15,Claude,GOOGL,343.93,344.98,,5.0
2026-09-15,ChatGPT,NVDA,212.06,212.17,,6.0
2026-09-15,ChatGPT,MSFT,497.79,497.12,,6.0
2026-09-15,ChatGPT,AAPL,330.22,331.34,,5.0
2026-09-15,ChatGPT,AMZN,247.72,248.42,,5.0
2026-09-15,ChatGPT,META,669.62,670.24,,6.0
2026-09-15,Gemini,NVDA,212.06,212.17,,7.0
2026-09-15,Gemini,MSFT,497.79,497.12,,6.0
2026-09-15,Gemini,AMZN,247.72,248.42,,6.0
2026-09-15,Gemini,META,669.62,670.24,,7.0
2026-09-15,Gemini,AAPL,330.22,331.34,,6.0
2026-09-16,Gemini,NVDA,212.17,219.34,,7.0
2026-09-16,Gemini,MSFT,497.12,497.75,,6.0
2026-09-16,Gemini,AAPL,331.34,337.0,,6.0
2026-09-16,Gemini,AMZN,248.42,251.19,,6.0
2026-09-16,Gemini,META,670.24,682.31,,6.0
2026-09-18,Gemini,NVDA,222.27,227.38,,7.0
2026-09-18,Gemini,AMZN,253.71,258.45,,6.0
2026-09-18,Gemini,META,665.75,741.24,,7.0
2026-09-18,Gemini,LLY,1152.93,1164.89,,6.0
2026-09-18,Gemini,MSFT,493.78,501.61,,6.0
2026-09-21,Gemini,NVDA,227.38,228.43,,7.0
2026-09-21,Gemini,META,741.24,748.34,,7.0
2026-09-21,Gemini,MSFT,501.61,495.99,,6.0
2026-09-21,Gemini,AMZN,258.45,254.61,,6.0
2026-09-21,Gemini,AAPL,338.98,343.17,,6.0
